2018-11-01 00:23:06,b'Happy Halloween! #Halloween #Halloween2018 #Halloween18\n\n\xf0\x9f\x8e\x83 https://t.co/XnbNmsxwNb \xf0\x9f\x8e\x83 \n\n#Cryptocurrency #Crypto\xe2\x80\xa6 https://t.co/JB4gBXG8aY'
2018-11-01 00:22:22,"b'@justinsuntron We need to grow, we need more tronics, I would like to see the #tron community get bigger \xf0\x9f\x99\x8c\xf0\x9f\x8c\x8e #massadoption #trx #tronics \xe2\x9d\xa4'"
2018-11-01 00:20:03,b'TRX users - are you using the TRX app? Loads of awesome features including real-time in-ear audio coaching. Downloa\xe2\x80\xa6 https://t.co/z79MKqx17G'
2018-11-01 00:17:10,b'Happy \xf0\x9f\x8e\x83 \xf0\x9f\x91\xbb Halloween!! #Bootcamp #barre #trx #trxworkout #fitnessbootcamp #yoga #vinyasaflow #trxworkouts\xe2\x80\xa6 https://t.co/qb64BKO01Y'
2018-11-01 00:14:43,b'#tron yessssssss IS THE THE #TRONWATCHMARKET DEAL? #TRX  @PURPLE_DIGITS99 @Crypto_Tone1 ? https://t.co/ALwuiwi1EW'
2018-11-01 00:10:17,b'Thank You Lord for another year of Life #Chapter23 #Grateful\n\n@mapexuk @mapexdrums @promarkbydaddario\xe2\x80\xa6 https://t.co/QVLBIwtFzS'
2018-11-01 00:09:40,b'#TRON AT IT AGAIN #TRX https://t.co/JAPezDDgLz'
2018-11-01 00:07:12,"b'""You don\xe2\x80\x99t need to know how the internet works to enjoy it, that\xe2\x80\x99s the same with blockchain; we want to make it the\xe2\x80\xa6 https://t.co/opEFcwvDFI'"
2018-11-01 00:06:01,b'Binance is TEMPORARILY accepting new users!\nSign up here:\n\nhttps://t.co/OLWoh1b8UV\n\n$VEN $BTG $LSK $ZAP $BTM $BCN\xe2\x80\xa6 https://t.co/AfnUT8I4rL'
2018-11-01 00:00:03,"b""Don't want to miss any of our public #crypto trading #signals? Want instant updates of our premium channel\xe2\x80\xa6 https://t.co/HkmAHJSvvC"""
2018-10-31 23:56:33,"b'If your doing tron #trx give always to get people to follow you, you are a complete fool!! Those thousands of #trx\xe2\x80\xa6 https://t.co/kbBEp3PdSz'"
2018-10-31 23:55:21,b'#TRON (#TRX) Exclusive https://t.co/hgdgvoExd8'
2018-10-31 23:53:43,"b'When you look at your portfolio every day, you can look like me \xf0\x9f\x98\x80 Take a break, devote yourself and your families.\xe2\x80\xa6 https://t.co/fNpzNNIjUC'"
2018-10-31 23:50:01,"b'Top 5 #cryptocurrencies \n Alert Time: 2018-11-01 02:50:01\n#Bitcoin: $6,320.245\n#Ethereum: $197.456\n#XRP: $0.448\xe2\x80\xa6 https://t.co/HzJgUsmEot'"
