,,,,,,
1,,,,,,
Tub,,,,,,
 03/13/2019,160610, 18 ,(22),HRF01,,
 03/13/2019,160611, 24 ,(46),HRF01,,
 03/13/2019,160612, 24 ,(70),HRF01,,
 03/14/2019,160623, 18 ,(88),HRF01,,
 03/18/2019,160629, 12 ,(100),HRF01,,
084001S,Swt Tar 4/Gal Tulk, 16 ,,,,
9030M,83.89% , 16 ,,,,
,,,,,,
,,,,,,
 03/15/2019,160621, 60 ,(44),TAS01S,ON HOLD,
133082S,Cktail Sce-V 4/8lb Seasid, 172 ,,,,
9053M,96.67% , 172 ,,,,
,,,,,,
,,,,,,
 03/15/2019,160621, 96 ,(58),CSV01S,ON HOLD,
182082,HR Wht-V 4/8 lb Seaside, 90 ,,,,
9057M,98.89% , 90 ,,,,
,,,,,,
,,,,,,
 03/14/2019,160620, 24 ,(18),HRV01,,
182110,HR Wht-V 4/8 lb Gator, 111 ,,,,
9053M,96.67% , 15 ,,,,
9058M,99.44% , 96 ,,,,
,,,,,,
,,,,,,
 03/15/2019,160621, 50 ,(27),HRV01,ON HOLD,
182192,HR Wht-V 4/8lb Harvest Va, 106 ,,,,
9057M,98.89% , 106 ,,,,
,,,,,,
,,,,,,
 03/12/2019,160604, 18 ,(2),HRV01,,
 03/13/2019,160608, 48 ,(50),HRV01,,
 03/13/2019,160610, 24 ,(74),HRV01,,
 03/13/2019,160611, 24 ,(98),HRV01,,
 03/13/2019,160612, 36 ,(134),HRV01,,
193031,CktailSceSpicy4/1GalSysIm, 202 ,,,,
9050M,97.50% , 202 ,,,,
,,,,,,
,,,,,,
 03/11/2019,160607, 48 ,(14),CSB04,,
 03/14/2019,160479, 6 ,(20),CSB04,,
215179S,CrbCk Bse 4/Gal CalvertH, 205 ,,,,
9028M,82.78% , 10 ,,,,
9058M,100.00% , 195 ,,,,
,,,,,,
,,,,,,
 03/18/2019,160618, 192 ,(4),CCS01S,,
435238,Red Wine Vinegar 4/1 Pom, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 03/07/2019,159951," 1,400 ","(1,400)",CS0096,ON HOLD,
529136,PubStyleHRSce 4/HalfGalBH, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 04/05/2019,160534," 1,000 ","(1,000)",BHD03,,
590276,Classic Mayo 4/1 Gal SK, 429 ,,,,
FEB1820TBG,97.26% , 429 ,,,,
,,,,,,
,,,,,,
 03/29/2019,160316, 425 ,(425),SRK01,,**CHEP**
596276,Dijonnaise 4/1 Gal SK, 0 ,,,,
FEB2720TBG,99.73% , 480 ,,,,
,,,,,,
,,,,,,
 02/28/2019,159544, 425 ,(425),SRK08,,**CHEP**
Pail,,,,,,
027215,HR Crse 400#D Kraft, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 03/28/2019,160301, 13 ,(13),HRC01,,
045001,Gar/W 30#P Tulk, 140 ,,,,
02212019M,96.11% , 140 ,,,,
02282019M,100.00% , 240 ,,,,
,,,,,,
,,,,,,
 03/14/2019,160276, 120 ,(82),GWR01,,
067001,HR Wht 30#P Tulk, 7 ,,,,
11272018M,48.33% , 7 ,,,,
,,,,,,
,,,,,,
 03/12/2019,160546, 10 ,(3),HRF01,,
073133,Puree/Gar 30#P Kens, 160 ,,,,
01302019M,83.89% , 59 ,,,,
02212019M,96.11% , 101 ,,,,
02282019M,100.00% , 171 ,,,,
,,,,,,
,,,,,,
 03/21/2019,160619, 108 ,(92),GPR01,,
