Finished Product Item Listing,,,,,,,,
"Cross reference between Product Code, Ross #, and Formula #",,,,,,,,
Item,Item Description,Pack Size,Label or Customer Name,Ross WIP #,Allergen / Sensitizer,Non K,Comments,
041357,HR WHITE,30# Pail,MAK,HRF07,na,,no artificial flavor,
043001,HR WHITE,30# Pail,Tulkoff,HRC01,na,,,
043113,HR WHITE,30# Pail,Ocean Spray,HRC02,na,,no artificial flavor,
043195,HR WHITE,30# Pail,Cain's,HRC02,na,,no artificial flavor,
045001,G/W,30# Pail,Tulkoff,GWR01,na,MICRO TESTED,,
045172,G/W & CA,30# Pail,Tulkoff,GWR02,na,,w/ 2% citric acid,
045395,GARLIC/WATER,30# Pail,Heinz,GWR01,na,MICRO TESTED,Micro tested - APC & Coliforms only,
045396,G/W,30# Pail,Kellogg's,GWR01,na,MICRO TESTED,Micro tested - Mold and Yeast,
047001,CHPD GARLIC,6/32 OZ,Tulkoff,GWR04,na,1/2 on blue,,
047036,CHPD GARLIC,6/32 OZ,Arrezzio,GWR04,na,blue pallet,,
047057,CHPD GARLIC,6/32 OZ,CobbMkt Originals,GWR04,na,,,
047105,CHPD GARLIC,6/32 OZ,Nat Pak,GWR04,na,,,
047125,CHPD GARLIC,6/32 OZ,Roseli,GWR04,na,,,
047300,CHPD GARLIC,6/32 OZ,T- (EGN),GWR04,na,1/2 on blue,,
048001,G/W & CA,30# Pail,Tulkoff,GWR04,na,,w/ 1.1% citric acid,
049001,HR WHITE,35# Pail,Tulkoff,HRC03,na,,no art flavor or soybean oil,
050001,HR WHITE,35# Pail,Tulkoff,HRF09,na,,,
051001,HR WHITE,35# Pail,Tulkoff,HRC01,na,,,
052001S,TIGER SAUCE,6/32 FL OZ,Tulkoff,TIS01S,Egg & Mustard,,,
052037,TIGER SAUCE,6/32 FL OZ,Sysco Classic,TIS01S,Egg & Mustard,blue pallet,,
054001S,CKTL SAUCE,6/32 OZ,Tulkoff,CSR01S,na,,,
054037S,CKTL SAUCE,6/32 OZ,Sysco Classic,CSR01S,na,blue pallet,,
056001,HR WHITE,400# Drum,Tulkoff,HRF01,na,,,
057196,CAESAR DRSG,4/123 FL OZ,MELTING POT,MPT01,"Milk,Fish,Egg,Soy",x blue pallet,Non-Kosher,
061356S,DILL TARTAR SCE,12/8 FL OZ,Fresh Market,TAD01S,Egg,,,
064230S,COCKTAIL SAUCE- X BOLD,12/9 OZ,PHILLIPS,CSB02S,na,,,
067001,HR WHITE,30# Pail,Tulkoff,HRF01,na,,,
070230S,DILL TARTAR ,12/8.25 FL OZ,PHILLIPS,TAD01S,Egg,,,
071082,GARLIC/O -V,30# Pail,Seaside,GOV01,na,,,
072082,GARLIC/W -V,30# Pail,Seaside,GWV01,na,,,
072037,GARLIC/W-V,30#Pail,Sysco Classic,GWV01,na,blue pallet,,
073001,GARLIC/PUREE,30# Pail,Tulkoff,GPR01,na,MICRO TESTED,,
073133,GARLIC/PUREE,30# Pail,Kens,GPR01,na,MICRO TESTED,,
073220,GARLIC/PUREE,30# Pail,Ventura Fds,GPR01,na,MICRO TESTED,,
077356S,SWT TARTAR SCE,12/8 FL OZ,Fresh Market,TAS01S,Egg,,,
079001,HR NAT HOT,200#DRUM,Tulkoff,HRF12,na,,,
082001,HR WHITE,400# Drum,Tulkoff,HRF07,na,,,
083001S,Chipotle Aioli,8/18floz,Tulkoff,CCA01S,Egg & Mustard,,,
084001S,SWT TARTAR SCE,4/1 GAL,Tulkoff,TAS01S,Egg,,,
085001,CHOPPED GARLIC,400# Drum,Tulkoff,GWR01,na,MICRO TESTED,,
086001,GARLIC IN OIL,400# Drum,Tulkoff,GOR01,na,,,
089001,HR WHITE,35# Pail,Tulkoff,HRF12,na,,,
089244,HR WHITE,35# Pail,TW Garner,HRF12,na,,,
090001S,EX BOLD COCKTAIL,8/20.5oz ,Tulkoff,CSB02S,na,blue pallet,,
092001,HR COARSE,30# Pail,Tulkoff,HRC07,na,,,
093001S,HR SCE BOLD,8/18floz,Tulkoff,DHR01S,Egg & Mustard,,,
096001,GAR/RSTD/CHPD,6/32 OZ,Tulkoff,GRC01,na,,,
096036,GAR/RSTD/CHPD,6/32 OZ,Arrezzio,GRC01,na,blue pallet,,
096196,GAR/RSTD/CHPD,6/32 OZ,Melting Pot,GRC01,na,blue pallet,,
098001,Kimchi Aioli,8/18floz,Tulkoff,KIM01,"egg, wheat, soy",,,
099001,Garlic Aioli,8/18floz,Tulkoff,LED01S,Egg,,,
102001,KickinDippinAioli,8/18floz,Tulkoff,HMA01,Egg & Mustard,,,
103001,Jalapeno Aioli,8/18floz,Tulkoff,JPA01,Egg & Mustard,,,
110202,GING/GARLIC,6/32 OZ,Panda,GIGA01,na,,Use By MM/DD/YY M hh:mm (tub & case),
110302,GING/GARLIC,6/32OZ,Panda BL,GIGA01,Canadian,,Best Before:YYMMDD,
110303,GING/GARLIC,6/32OZ,Panda UAE,GIGA01,Dubai,,,
125001,GAR/RSTD/Coarse,30# Pail,Tulkoff,GRC04,na,MICRO TESTED,,
133019S,CKTL SAUCE - V,4/8 LB,Unipro,CSV01S,na,,,
133156,CKTL SAUCE - V,4/8 LB,Gordon Choice,CSV01S,na,blue pallet,,
133082S,CKTL SAUCE - V,4/8 LB,Seaside,CSV01S,na,1/2 on blue,,
134059,HR WHITE-V,6/32 OZ ,CobbMkt Foundations,HRV01,na,,,
134143,HR WHITE - V,6/32 OZ,Mt Stirling,HRV01,na,,"Fine grind, West - HRF01 / 0105",
134198,HR WHITE - V,6/32 OZ,West Creek,HRV01,na,,,
135059,G/W-V,6/32 OZ,CobbMkt Foundations,GWV01,na,,,
135114,G/W - V,6/32 OZ,Mama Lucia,GWV01,na,,,
135143,G/W - V,6/32 OZ,Mt Stirling,GWV01,na,,,
135147,G/W - V,6/32 OZ,Monarch,GWV01,na,,,
135197,G/W - V,6/32 OZ,Roma,GWV01,na,,,
136059,G/O - V,6/32 OZ,CobbMkt Foundations,GOV01,na,,,
136114,G/O - V,6/32 OZ,Mama Lucia,GOV01,na,,,
136147,G/O - V,6/32 OZ,Monarch,GOV01,na,,,
136197,G/O - V,6/32 OZ,Roma,GOV01,na,,,
140036,G/W - V,6/32 OZ,Arrezzio,GWV01,na,blue pallet,,
141036,G/O- V,6/32 OZ,Arrezzio,GOV01,na,blue pallet,,
162001,PESTO,2/30 FL OZ,Tulkoff,PES01,Milk,x,Non-Kosher,
162125,PESTO,2/30 FL OZ,Roseli,PES01,Milk,x,Non-Kosher,
163001,GINGER PUREE,35# Pail,Tulkoff,GIP01,na,,,
164001,GINGER PUREE A/N,30# Pail,T,GIP04,na,,,
164357,GINGER PUREE A/N,30# Pail,MID ATLANTIC KITCHEN ,GIP04,na,,,
168082,G/W - V,400# Drum,Seaside,GWV01,na,,,
174001,G/O,6/32 OZ,Tulkoff,GOR01,na,,,
174036,G/O,6/32 OZ,Arrezzio,GOR01,na,blue pallet,,
174057,G/O,6/32 OZ,CobbMkt Originals,GOR01,na,,,
182019,HR WHITE - V,4/8 LB,Unipro,HRV01,na,,"Fine grind, West - HRF01 / 0105",
182059,HR WHITE - V,4/8 LB,CobbMkt Foundations,HRV01,na,,,
182082,HR WHITE - V,4/8 LB,Seaside,HRV01,na,1/2 on blue,"Fine grind, West - HRF01 / 0105",
182110,HR WHITE - V,4/8 LB,Gator,HRV01,na,,"Fine grind, West - HRF01 / 0105",
182192,HR WHITE - V,4/8 LB,Harvest Value,HRV01,na,,"Fine grind, West - HRF01 / 0105",
182198,HR WHITE - V,4/8 LB,West Creek,HRV01,na,,,
183001,HR WHITE - V,30# Pail,Seaside,HRV01,na,,Fine grind,
187001,G/O,30# Pail,Tulkoff,GOR01,na,,,
189202,G/O Extra,6/32oz,Panda,GOR03,na,micro tested,,
193031,Cocktail Spicy,4/1 gal,Sysco Imperial,CSB04,na,blue pallet,,
196031,Coctail Sauce,4/1 gal,Sysco Imperial,CSR03,na,blue pallet,,
195001,GINGER PUREE,6/32 OZ,Tulkoff,GIP01,na,,,
195036,GINGER PUREE,6/32 OZ,Arrezzio,GIP01,na,blue pallet,,
198001,PESTO,6/30 FL OZ,Tulkoff,PES01,Milk,x,,
198036,PESTO,6/32 OZ,Arrezzio,PES01,Milk,x-blue pallet,,
199001,GINGER PUREE,2/32 OZ,Tulkoff,GIP01,na,,,
200037,GAR&OLIVE OIL,6/32OZ,Sysco Classic,GOO02,na,blue pallet,,
215179S,CRABCAKE BSE,4/1 GAL,Calvert House,CCS01S,Egg & Mustard,,,
217179S,CRABCAKE BSE,385# Drum,Grahams & Rollins,CCS01S,Egg & Mustard,,,
229328,HR WHT w/MOEB,12/8oz,Damn Good CS,HRF11,na,,,
231001,HR WHITE,400# Drum,Tulkoff,HRF09,na,,,
234019,HR WHITE - V,6/32 OZ ,Unipro,HRV01,na,,"Fine grind, West - HRF01 / 0105",
234082,HR WHITE - V,6/32 OZ ,Seaside,HRV01,na,,"Fine grind, West - HRF01 / 0105",
235082,G/W - V,6/32 OZ ,Seaside,GWV01,na,blue pallet,,
235119,G/W - V,6/32 OZ ,Cortona,GWV01,na,,,
236082,G/O - V,6/32 OZ ,Seaside,GOV01,na,blue pallet,,
257213,G/W - SV,6/32 OZ,C Express,GWV02,na,,,
319001,Pizza Sauce,4/1Gal Bags,Tulkoff,PIZ01,na,,,
351147,GARLIC SAUCE,6/32oz,Monarch,GFS01,na,,YJJJM,
325233S,GARLIC AIOLI,4/1 GAL,Ledo's,LED01S,Egg,,,
361267,Coconut Oil,12/14floz,Vita Coco,CS0129,Tree Nut,Organic,,
362267,Coconut Oil,6/14floz,Vita Coco,CS0129,Tree Nut,Organic,,
362285,Coconut Oil,6/14floz,Vita Coco Canada,CS0129,Tree Nut,Organic,,
368213S,CHPTL CHL AIOLI,2/30 FL OZ,Tulkoff,CCA01S,Egg & Mustard,,,
370213S,CHPTL CHL AIOLI,6/30 FL OZ,Tulkoff,CCA01S,Egg & Mustard,,,
389275,Shack Sauce,6/6.5lbs ,Shake Shack,SHK02,Egg & Mustard,Pouches,,
399275,Buttrmilk Herb Sce,6/6.5lbs ,Shake Shack,SHK01,Egg & Mustard,Pouches,,
421238,SherryCookingWine,6/12.7fl oz,Pompeian,CS0102,na,x-red peco,Non-Kosher,
422238,MarsalaCookingWine,6/12.7fl oz,Pompeian,CS0104,na,x-red peco,Non-Kosher,
423238,WhiteCookingWine,6/12.7fl oz,Pompeian,CS0103,na,x-red peco,Non-Kosher,
424238,BurgundyCookinGWine,6/12.7fl oz,Pompeian,CS0105,na,x-red peco,Non-Kosher,
421265,SherryCookingWine,6/12.7fl oz,Shop Rite,CS0102,na,x,Non-Kosher,
422265,MarsalaCookingWine,6/12.7fl oz,Shop Rite,CS0104,na,x,Non-Kosher,
423265,WhiteCookingWine,6/12.7fl oz,Shop Rite,CS0103,na,x,Non-Kosher,
424265,BurgundyCookinGWine,6/12.7fl oz,Shop Rite,CS0105,na,x,Non-Kosher,
425238,SherryCookingWine,6/16 fl oz,Pompeian,CS0102,na,x-red peco,Non-Kosher,
426238,MarsalaCookingWine,6/16 fl oz,Pompeian,CS0104,na,x-red peco,Non-Kosher,
427238,WhiteCookingWine,6/16 fl oz,Pompeian,CS0103,na,x-red peco,Non-Kosher,
428238,BurgundyCookinGWine,6/16 fl oz,Pompeian,CS0105,na,x-red peco,Non-Kosher,
435238,Red Wine Vinegar,4/1 Gal,Pompeian,CS0096,na,x-red peco,Non-Kosher,
446325,SESAME GARLIC,4/4.9 LBS,Asian Menu,ASM01,"Soy, Wheat",,23-JJJ01Y of manufacturing,
447325,CLASSIC STIR FRY,4/4.9 LBS,Asian Menu,ASM03,"Soy, Wheat",,23-JJJ01Y of manufacturing,
448325,GENERAL TSO'S,4/4.9 LBS,Asian Menu,ASM04,"Soy, Wheat",,23-JJJ01Y of manufacturing,
449325,ORANGE GINGER,4/4.75 LBS,Asian Menu,ASM05,"Soy, Wheat",,23-JJJ01Y of manufacturing,
450325,HOISIN TERIYAKI ,2/1 GAL,Asian Menu,ASM02,"Soy, Wheat",,23-JJJ01Y of manufacturing,
451325,SESAME GARLIC,2/1 GAL,Asian Menu,ASM01,"Soy, Wheat",,23-JJJ01Y of manufacturing,
453325,HOISIN TERIYAKI ,6/15.5 OZ,Asian Menu,ASM02,"Soy, Wheat",,23-JJJ01Y of manufacturing,
454325,SESAME GARLIC,6/15.5 OZ,Asian Menu,ASM01,"Soy, Wheat",,23-JJJ01Y of manufacturing,
455325,ASIAN BROWN ,6/15.5 OZ,Asian Menu,ASM03,"Soy, Wheat",,23-JJJ01Y of manufacturing,
456390,GARLIC SPREAD,12/6 OZ,Lawry's,LWR01,na,MICRO TESTED,,
480156,LIQUID SMOKE FLAVOR,12/32 FL OZ,Gordon Choice,LSF01,na,blue pallet,JJJ YYM Date of Manufacture,
590276,Classic Mayo,4/1 Gal,Sir Kensington's,SRK01,Egg/Mustard,blue pallet,,
591276,SF  Classic Mayo,4/1 Gal Bags,Sir Kensington's,SRK03,Egg/Mustard,blue pallet,,
592276,Classic Mayo,6/10floz,Sir Kensington's,SRK01,Egg/Mustard,blue pallet,,
593276,Classic Mayo,6/16floz,Sir Kensington's,SRK01,Egg/Mustard,blue pallet,,
594276,Classic Mayo,6/32floz,Sir Kensington's,SRK01,Egg/Mustard,blue pallet,,
596276,Dijonnaise,4/1 gal,Sir Kensington's,SRK08,Egg/Mustard,blue pallet,,
615276,Classic Mayo,6/12 floz,Sir Kensington's,SRK01,Egg/Mustard,blue pallet,,
616276,Organic Mayo,6/12 floz,Sir Kensington's,SRK09,Egg/Mustard,blue pallet,,
617276,Avocado Mayo,6/12 floz,Sir Kensington's,SRK02,Egg/Mustard,blue pallet,,
618276,Chipotle Mayo,6/12 floz,Sir Kensington's,SRK10,Egg,blue pallet,,
619276,Special Sauce,6/12 floz,Sir Kensington's,SRK05,Egg/Mustard,blue pallet,,
620276,Avocado Mayo,6/16 floz,Sir Kensington's,SRK02,Egg/Mustard,blue pallet,,
621276,Organic Mayo,6/32 floz,Sir Kensington's,SRK09,Egg/Mustard,blue pallet,,
622276,Avocado Ranch,6/9 floz,Sir Kensington's,SRK15,Egg/Micro,blue pallet,,
624276,Buffalo Ranch,6/9 floz,Sir Kensington's,SRK17,Egg/Micro,blue pallet,,
626276,Classic Ranch,6/9 floz,Sir Kensington's,SRK14,Egg/Micro,blue pallet,,
627276,Pizza Ranch,6/9 floz,Sir Kensington's,SRK16,Egg/Micro,blue pallet,,
628276,Sriracha Mayo,6/10floz,Sir Kensington's,SRK06,Egg/Micro,blue pallet,,
629276,Dijonnaise,6/10floz,Sir Kensington's,SRK08,Egg/Mustard,blue pallet,,
637276,Avocado Ranch,4/1 gal,Sir Kensington's,SRK15,Egg/Micro,blue pallet,,
638276,Buffalo Ranch,4/1 gal,Sir Kensington's,SRK17,Egg/Micro,blue pallet,,
631276,Classic Ranch,4/1 gal,Sir Kensington's,SRK14,Egg/Micro,blue pallet,,
632276,Pizza Ranch,4/1 gal,Sir Kensington's,SRK16,Egg/Micro,blue pallet,,
633276,Avocado Ranch,400# Drum,Sir Kensington's,SRK15,Egg/Micro,blue pallet,,
634276,Buffalo Ranch,400# Drum,Sir Kensington's,SRK17,Egg/Micro,blue pallet,,
635276,Classic Ranch,400# Drum,Sir Kensington's,SRK14,Egg/Micro,blue pallet,,
636276,Pizza Ranch,400# Drum,Sir Kensington's,SRK16,Egg/Micro,blue pallet,,
642276,Organic Mayo,6/16floz,Sir Kensington's,SRK09,Egg/Mustard,blue pallet,,
643276,Chipotle Mayo,6/10floz,Sir Kensington's,SRK10,Egg,blue pallet,,
714131,GING PLUM SCE,4/9.06 LBS,Melting Pot,71413,na,blue pallet,Use By & Manuf Date (MM/DD/YY-E) hh:mm,
714141,TERIYAKI GLAZE,4/8.75 LBS,Melting Pot,71414,Soy & Wheat,blue pallet,Use By & Manuf Date (MM/DD/YY-E) hh:mm,,
,CO-PACKED ITEMS,,,,,,,,
021001,GARLIC SPREAD,6/4 LB,TULKOFF,CP-FEGT,Milk & Soy,x,Oasis,,
035001,GARLIC SPREAD,6/2 LB,TULKOFF,REPACK,Milk & Soy,x,Oasis,,
037001,GARLIC SPREAD,2/2 LB,TULKOFF,REPACK,Milk & Soy,x,Oasis,,
158001,SCAMPI ZERO T,2/2.5 LB,TULKOFF,CP-30510,Milk & Soy,x,Darifair.  S/L = 4 R,,
335125,GARLIC SPREAD,6/2 LB,ROSELI,REPACK,Milk & Soy,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
